tacgia,Link,NamSinh,Quote,Tuoi
Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,1879-03-14,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,76
J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,1965-07-31,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",57
Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,1879-03-14,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,76
Jane Austen,http://quotes.toscrape.com//author/Jane-Austen,1775-12-16,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",41
Marilyn Monroe,http://quotes.toscrape.com//author/Marilyn-Monroe,1926-06-01,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",36
Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,1879-03-14,“Try not to become a man of success. Rather become a man of value.”,76
André Gide,http://quotes.toscrape.com//author/Andre-Gide,1869-11-22,“It is better to be hated for what you are than to be loved for what you are not.”,81
Thomas A. Edison,http://quotes.toscrape.com//author/Thomas-A-Edison,1847-02-11,"“I have not failed. I've just found 10,000 ways that won't work.”",84
Eleanor Roosevelt,http://quotes.toscrape.com//author/Eleanor-Roosevelt,1884-10-11,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,78
Steve Martin,http://quotes.toscrape.com//author/Steve-Martin,1945-08-14,"“A day without sunshine is like, you know, night.”",77
Marilyn Monroe,http://quotes.toscrape.com//author/Marilyn-Monroe,1926-06-01,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",36
J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,1965-07-31,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",57
Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,1879-03-14,"“If you can't explain it to a six year old, you don't understand it yourself.”",76
Bob Marley,http://quotes.toscrape.com//author/Bob-Marley,1945-02-06,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",36
Dr. Seuss,http://quotes.toscrape.com//author/Dr-Seuss,1904-03-02,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",87
Douglas Adams,http://quotes.toscrape.com//author/Douglas-Adams,1952-03-11,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",49
Elie Wiesel,http://quotes.toscrape.com//author/Elie-Wiesel,1928-09-30,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",87
Friedrich Nietzsche,http://quotes.toscrape.com//author/Friedrich-Nietzsche,1844-10-15,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",55
Mark Twain,http://quotes.toscrape.com//author/Mark-Twain,1835-11-30,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",74
